Format: Nome,Norte,Leste,Altitude(Ort.),Descrição
283,9053891432,278609812,418,TN
284,9053890095,278608905,715,TN
285,9053890608,278610211,781,TN
286,9053893868,278610867,726,TN
287,9053893522,278609148,691,TN
288,9053896627,278613417,3957,TN
289,9053898721,278611730,869,TN
290,9053899506,278613313,587,TN
291,9053900609,278614546,997,TN
292,9053901603,278613203,1013,TN
293,9053902175,278611341,673,TN
294,9053904585,278604571,750,TN
295,9053908552,278605675,692,TN
296,9053910145,278608354,651,TN
297,9053907118,278611037,763,TN
298,9053904640,278614796,1060,TN
299,9053904794,278614771,1059,TN
300,9053904662,278617321,1129,CE
301,9053910539,278619377,1268,TN
302,9053913384,278616046,1265,TN
303,9053918325,278617582,1228,TN
304,9053918858,278620496,1261,TN
305,9053921200,278619761,697,TN
306,9053923374,278620264,636,TN
307,9053924198,278617166,662,TN
308,9053921255,278615474,626,TN
309,9053919309,278613300,1041,TN
310,9053915363,278610895,1181,TN
311,9053913692,278609816,860,TN
312,9053914663,278605564,954,TN
313,9053913015,278600815,1122,TN
314,9053917107,278600335,1388,TN
315,9053924302,278604476,1423,TN
316,9053925632,278605945,845,TN
317,9053921543,278607567,1319,TN
318,9053921699,278608404,843,TN
319,9053928497,278595022,1684,TN
320,9053920696,278590412,1573,TN
321,9053924209,278578958,1616,TN
322,9053926013,278572886,1642,MU
323,9053935750,278577277,1889,MU
324,9053934530,278582415,1890,TN
325,9053937977,278584228,1545,TN
326,9053935163,278591786,1504,TN
327,9053930312,278591522,1762,TN
328,9053933950,278597178,1382,TN
329,9053934137,278600713,1538,TN
330,9053935087,278606593,1174,TN
331,9053931483,278608119,973,TN
332,9053929852,278604811,1368,TN
333,9053936501,278609143,1578,TN
334,9053941179,278598904,1734,TN
335,9053939637,278598997,1434,TN
336,9053940753,278599089,1756,TN
337,9053944591,278591181,1845,TN
338,9053942574,278588252,1617,TN
339,9053944135,278585360,1568,TN
340,9053948286,278584083,1933,TN
341,9053947985,278582800,1947,MU
342,9053950230,278581721,1847,AC
343,9053957023,278584629,1828,AC
344,9053950100,278599126,1787,AC
345,9053943092,278598054,1798,AC
346,9053937573,278610565,1602,AC
347,9053936698,278610420,1567,TN
348,9053943219,278612569,1652,AC
349,9053932004,278620399,1506,TN
350,9053933190,278618713,-2301,ARV
351,9053927907,278627696,1690,CE
352,9053928876,278627673,1767,AC
353,9053924906,278624062,1365,TN
354,9053923308,278625062,1446,TN
355,9053921078,278646962,1774,AC
356,9053926605,278648967,1672,AC
357,9053907798,278675503,1498,AC
358,9053911993,278677344,1528,AC
359,9053892339,278708542,1406,AC
360,9053897120,278711853,1542,AC
361,9053886769,278721699,1510,AC
362,9053892665,278724778,1563,AC
363,9053890018,278730395,1369,AC
364,9053867621,278721158,1492,AC
365,9053869602,278714616,1385,AC
366,9053855256,278709357,1447,AC
367,9053852898,278714856,1441,AC
368,9053852746,278715056,1442,AC
369,9053836732,278703013,1401,AC
370,9053833720,278710171,4012,AC
371,9053816975,278705710,1471,AC
372,9053817293,278700147,1474,AC
373,9053814615,278698537,1426,ARV
374,9053802209,278697694,1432,ARV
375,9053803591,278706182,1426,ARV
376,9053802163,278695972,1433,CE
377,9053785212,278695471,1324,TN
378,9053783492,278701270,1283,TN
379,9053785212,278693803,1275,CE
380,9053805534,278707692,1443,AC
381,9053809939,278709139,1473,AC
382,9053809126,278712034,1386,AC
383,9053805692,278711884,1362,AC
384,9053808247,278720545,1246,AC
385,9053803826,278717130,791,AC
386,9053805714,278743129,1241,AC
387,9053801460,278745724,1227,AC
388,9053798145,278763249,4991,AC
389,9053798088,278763228,4966,AC
390,9053802405,278763649,1078,AC
391,9053795476,278788429,758,AC
392,9053799865,278789826,1444,AC
393,9053797748,278803073,729,AC
394,9053798316,278803544,928,CE
395,9053793442,278802552,-812,CE
396,9053793264,278805713,450,AC
397,9053796447,278807610,327,AC
398,9053795606,278813740,142,AC
399,9053791376,278812901,1,AC
400,9053789415,278819641,-532,PRAIA
401,9053794281,278820658,-485,PRAIA
402,9053794272,278820636,-481,PRAIA
403,9053809164,278815594,816,PRAIA
404,9053797693,278814237,470,PRAIA
405,9053797900,278809538,729,PRAIA
406,9053792290,278807608,771,PRAIA
407,9053789025,278811906,361,PRAIA
408,9053781439,278810772,428,PRAIA
409,9053781336,278810808,418,PRAIA
410,9053781027,278816836,-469,PRAIA
411,9053770591,278814825,-510,PRAIA
412,9053761418,278812007,-440,PRAIA
413,9053761984,278803921,840,PRAIA
414,9053769972,278804821,909,PRAIA
415,9053777410,278808452,609,PRAIA
416,9053763064,278796991,1792,MU
417,9053770142,278797296,1415,TN
418,9053775028,278798350,584,TN
419,9053776131,278798517,1249,TN
420,9053775626,278792305,5634,TN
421,9053776412,278791704,1390,TN
422,9053775357,278791157,1204,TN
423,9053774024,278791381,1367,TN
424,9053773422,278797480,1373,TN
425,9053774863,278782741,1257,TN
426,9053779331,278779600,1433,TN
427,9053780409,278778936,1550,MU
428,9053774268,278779133,1492,TN
429,9053766592,278778111,1631,TN
430,9053765493,278778002,1529,MU
431,9053767300,278762528,1292,MU
432,9053768447,278763050,1368,TN
433,9053775333,278763925,1396,TN
434,9053778986,278765803,1236,TN
435,9053782072,278765857,1384,MU
436,9053777292,278759132,976,TN
437,9053773637,278758852,1006,TN
438,9053769890,278743122,1317,MU
439,9053773801,278744025,1457,TN
440,9053777476,278743566,1202,TN
441,9053780921,278743341,1331,TN
442,9053782881,278743626,1294,TN
443,9053784517,278743591,1304,MU
444,9053786816,278726009,763,MU
445,9053783473,278725892,763,TN
446,9053778906,278724853,834,TN
447,9053774939,278724486,719,TN
448,9053772456,278723989,768,MU
449,9053773772,278712186,995,MU
450,9053777635,278712111,1115,TN
451,9053781643,278712495,885,TN
452,9053788504,278712651,1285,MU
453,9053789057,278707526,1474,MU
454,9053788853,278707119,1423,CE
455,9053786200,278706583,1257,CE
456,9053780962,278706185,1161,CE
457,9053776799,278705778,1264,CE
458,9053774601,278705289,1200,MU
459,9053775530,278702732,1157,TN
460,9053780307,278703419,1188,TN
461,9053784041,278703930,1249,TN
462,9053786641,278704042,1189,TN
463,9053789023,278704447,1426,TN
464,9053793117,278695704,1459,ARV
465,9053805974,278697590,5930,ARV
466,9053829457,278700747,1336,ARV
467,9053849317,278672296,794,ARV
